Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity(left arm),extremity angular velocity(right arm),extremity angular velocity(Left leg),extremity angular velocity(right leg),Partial joint attention,efficiency,Spatiality
106,0.85843548,0.206384363,0.997045966,0.920943909,0.79535707,0.014009088,0.490768682,0.917257219,0.031892549,0.196608008,0.134221892,0.045084513,0.043298187,0.013029539,0.005902302,0.033143513,0.984314011,0.343996431
107,0.849482927,0.202858806,0.99720933,0.921992639,0.793157726,0.014048473,0.492646293,0.917280629,0.031454731,0.193932058,0.150291388,0.059798686,0.053026817,0.019230386,0.007275259,0.042309564,0.985563424,0.370223614
108,0.840049491,0.199137337,0.996900022,0.922012825,0.790596537,0.014426385,0.494259921,0.917304626,0.045024264,0.197448038,0.151462034,0.067992053,0.055595399,0.023157736,0.01110162,0.046345295,0.993640957,0.375440732
109,0.831032612,0.19609822,0.996241306,0.923014212,0.787625925,0.014318306,0.496038031,0.917329079,0.031522336,0.19687974,0.156495849,0.066647405,0.060287241,0.022322122,0.012378409,0.047600492,0.994781363,0.393472526
110,0.822186409,0.192440022,0.995245014,0.923911984,0.784272078,0.014752774,0.497837298,0.917353691,0.034838374,0.196773509,0.149145393,0.073702397,0.065061781,0.022690486,0.017620341,0.052036567,0.994534747,0.398609319
111,0.812802125,0.187799992,0.994457446,0.924445905,0.780040189,0.015370659,0.499571986,0.917379042,0.034008809,0.201340618,0.156244214,0.076579078,0.068880908,0.023179125,0.018650916,0.054547495,0.995404869,0.410687241
112,0.80298928,0.182229665,0.993903585,0.924617356,0.775348397,0.015250186,0.501140718,0.917404952,0.040858631,0.195058246,0.161696476,0.083497922,0.079588993,0.023806891,0.01678811,0.061157593,0.993553104,0.422986689
113,0.79307945,0.177804995,0.992806711,0.923501982,0.770504522,0.014889339,0.502385857,0.917431223,0.035841943,0.193979633,0.164661576,0.086040002,0.083584038,0.025022772,0.016169028,0.063609015,0.989874029,0.437472373
114,0.783177421,0.173053953,0.99166579,0.921043147,0.764874756,0.01457577,0.503265806,0.917457757,0.03487581,0.182107361,0.161572404,0.090381243,0.092997809,0.021997504,0.010875066,0.068767144,0.9856239,0.43974884
115,0.773416356,0.167256625,0.991707206,0.91869369,0.758010507,0.014416543,0.503358002,0.917485037,0.038117663,0.168812608,0.157061889,0.095775294,0.099381724,0.020948035,0.005445275,0.073183882,0.978665862,0.443449162
116,0.76416057,0.16160016,0.991795298,0.920888151,0.750910609,0.014542853,0.502745674,0.91751282,0.033416508,0.170953103,0.146347253,0.096583472,0.106314425,0.022665716,0.005336475,0.076086712,0.978388926,0.443425026
